"id","title","director","release_year","runtime","rating","metascore","gross(M)"
270,"Blade Runner","Ridley Scott","1982",117,8.1,84,32.87
271,"White Heat","Raoul Walsh","1949",114,8.1,0,0.0
272,"The Terminator","James Cameron","1984",107,8.1,84,38.4
273,"The General","Clyde Bruckman","1926",78,8.1,0,1.03
274,"Masaan","Neeraj Ghaywan","2015",109,8.1,0,0.0
275,"Mad Max: Fury Road","George Miller","2015",120,8.1,90,154.06
276,"The Gold Rush","Charles Chaplin","1925",95,8.1,0,5.45
277,"Gone Girl","David Fincher","2014",149,8.1,79,167.77
278,"Throne of Blood","Akira Kurosawa","1957",110,8.1,0,0.0
279,"Barfi!","Anurag Basu","2012",151,8.1,0,2.8
280,"Ford v Ferrari","James Mangold","2019",152,8.1,81,117.62
281,"The Help","Tate Taylor","2011",146,8.1,62,169.71
282,"Talvar","Meghna Gulzar","2015",132,8.1,0,0.34
283,"Logan","James Mangold","2017",137,8.1,77,226.28
284,"Sunrise","F.W. Murnau","1927",94,8.1,95,0.54
285,"Catch Me If You Can","Steven Spielberg","2002",141,8.1,75,164.62
286,"Autumn Sonata","Ingmar Bergman","1978",99,8.1,0,0.0
287,"The Big Lebowski","Joel Coen","1998",117,8.1,71,17.5
288,"A Wednesday","Neeraj Pandey","2008",104,8.1,0,0.0
289,"Hacksaw Ridge","Mel Gibson","2016",139,8.1,71,67.21
290,"Stand by Me","Rob Reiner","1986",89,8.1,75,52.29
291,"Rififi","Jules Dassin","1955",118,8.1,97,0.06
292,"Ratatouille","Brad Bird","2007",111,8.1,96,206.45
293,"Harry Potter and the Deathly Hallows: Part 2","David Yates","2011",130,8.1,85,381.01
294,"The Exorcist","William Friedkin","1973",122,8.1,81,232.91
295,"Inside Out","Pete Docter","2015",95,8.1,94,356.46
296,"Rang De Basanti","Rakeysh Omprakash Mehra","2006",167,8.1,0,2.2
297,"The Handmaiden","Park Chan-wook","2016",145,8.1,85,2.01
298,"The Grand Illusion","Jean Renoir","1937",113,8.1,0,0.17
299,"Rocky","John G. Avildsen","1976",120,8.1,70,117.24
300,"On the Waterfront","Elia Kazan","1954",108,8.1,91,9.6
301,"Raise the Red Lantern","Yimou Zhang","1991",125,8.1,0,2.6
302,"Fargo","Joel Coen","1996",98,8.1,86,24.61
303,"Nights of Cabiria","Federico Fellini","1957",110,8.1,0,0.75
304,"Trainspotting","Danny Boyle","1996",93,8.1,83,16.5
305,"Pink","Aniruddha Roy Chowdhury","2016",136,8.1,0,1.24
306,"The Wizard of Oz","Victor Fleming","1939",102,8.1,92,2.08
307,"Let's Go! India","Shimit Amin","2007",153,8.1,68,1.11
308,"The Virgin Spring","Ingmar Bergman","1960",89,8.1,0,1.53
309,"Queen","Vikas Bahl","2013",146,8.1,0,1.43
310,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh","2017",115,8.1,88,54.51
311,"Dead Poets Society","Peter Weir","1989",128,8.1,79,95.86
312,"Jean de Florette","Claude Berri","1986",120,8.1,0,4.94
313,"Into the Wild","Sean Penn","2007",148,8.1,73,18.35
314,"Article 15","Anubhav Sinha","2019",130,8.1,0,0.0
315,"The Deer Hunter","Michael Cimino","1978",183,8.1,86,48.98
316,"Time of the Gypsies","Emir Kusturica","1988",142,8.1,0,0.28
317,"Monsters, Inc.","Pete Docter","2001",92,8.1,79,289.92
318,"Sholay","Ramesh Sippy","1975",162,8.1,0,0.0
319,"Memories of Murder","Bong Joon Ho","2003",132,8.1,82,0.01
320,"Munna Bhai M.B.B.S.","Rajkumar Hirani","2003",156,8.1,0,0.0
321,"Room","Lenny Abrahamson","2015",118,8.1,86,14.68
322,"Tangerines","Zaza Urushadze","2013",87,8.1,73,0.14
323,"Before Sunrise","Richard Linklater","1995",101,8.1,77,5.54
324,"Kahaani","Sujoy Ghosh","2012",122,8.1,0,1.04
325,"Hera Pheri","Priyadarshan","2000",156,8.1,0,0.0
326,"Rush","Ron Howard","2013",123,8.1,74,26.95
327,"12 Years a Slave","Steve McQueen","2013",134,8.1,96,56.67
328,"Spotlight","Tom McCarthy","2015",129,8.1,93,45.06
329,"The Bandit","Yavuz Turgul","1996",128,8.1,0,0.0
330,"The Sound of Music","Robert Wise","1965",172,8.1,63,163.21
331,"The Circus","Charles Chaplin","1928",72,8.1,90,0.0
332,"Platoon","Oliver Stone","1986",120,8.1,92,138.53
333,"Udaan","Vikramaditya Motwane","2010",134,8.1,0,0.01
334,"How to Train Your Dragon","Dean DeBlois","2010",98,8.1,75,217.58
335,"OMG: Oh My God!","Umesh Shukla","2012",125,8.1,0,0.92
336,"Lock, Stock and Two Smoking Barrels","Guy Ritchie","1998",107,8.1,66,3.9
337,"Black","Sanjay Leela Bhansali","2005",122,8.1,0,0.73
338,"Warrior","Gavin O'Connor","2011",140,8.1,71,13.66
339,"Everything's Gonna Be Great","Ömer Vargi","1998",107,8.1,0,0.0
340,"Sarfarosh","John Mathew Matthan","1999",174,8.1,0,0.0
341,"Anand","Hrishikesh Mukherjee","1971",122,8.1,0,0.0
342,"Dune","Denis Villeneuve","2021",155,8.0,74,108.33
343,"Blade Runner 2049","Denis Villeneuve","2017",164,8.0,81,92.05
344,"Guardians of the Galaxy","James Gunn","2014",121,8.0,76,333.18
345,"Deadpool","Tim Miller","2016",108,8.0,65,363.07
346,"Rain Man","Barry Levinson","1988",133,8.0,65,178.8
347,"Black Swan","Darren Aronofsky","2010",108,8.0,79,106.95
348,"The Princess Bride","Rob Reiner","1987",98,8.0,77,30.86
349,"The Avengers","Joss Whedon","2012",143,8.0,69,623.28
350,"La La Land","Damien Chazelle","2016",128,8.0,94,151.1
351,"The Martian","Ridley Scott","2015",144,8.0,80,228.43
352,"Donnie Darko","Richard Kelly","2001",113,8.0,88,1.48
